Week,TensorFlow: (Worldwide),PyTorch: (Worldwide)
2015-03-01,0,0
2015-03-08,0,0
2015-03-15,0,0
2015-03-22,0,0
2015-03-29,0,0
2015-04-05,0,0
2015-04-12,0,0
2015-04-19,0,0
2015-04-26,0,0
2015-05-03,0,0
2015-05-10,0,0
2015-05-17,0,0
2015-05-24,0,0
2015-05-31,0,0
2015-06-07,0,0
2015-06-14,0,0
2015-06-21,0,0
2015-06-28,0,0
2015-07-05,<1,0
2015-07-12,0,0
2015-07-19,0,<1
2015-07-26,<1,0
2015-08-02,0,0
2015-08-09,0,0
2015-08-16,0,0
2015-08-23,<1,0
2015-08-30,<1,0
2015-09-06,<1,0
2015-09-13,0,<1
2015-09-20,0,0
2015-09-27,<1,0
2015-10-04,<1,0
2015-10-11,0,0
2015-10-18,<1,0
2015-10-25,<1,0
2015-11-01,<1,<1
2015-11-08,65,0
2015-11-15,22,0
2015-11-22,13,0
2015-11-29,9,0
2015-12-06,10,0
2015-12-13,10,0
2015-12-20,8,0
2015-12-27,8,0
2016-01-03,9,0
2016-01-10,8,0
2016-01-17,10,0
2016-01-24,13,0
2016-01-31,12,0
2016-02-07,9,0
2016-02-14,10,0
2016-02-21,10,0
2016-02-28,10,0
2016-03-06,11,0
2016-03-13,12,<1
2016-03-20,14,0
2016-03-27,12,0
2016-04-03,12,0
2016-04-10,17,0
2016-04-17,17,<1
2016-04-24,17,<1
2016-05-01,15,0
2016-05-08,19,<1
2016-05-15,22,0
2016-05-22,22,0
2016-05-29,22,<1
2016-06-05,23,<1
2016-06-12,22,0
2016-06-19,22,0
2016-06-26,23,0
2016-07-03,23,0
2016-07-10,20,<1
2016-07-17,24,0
2016-07-24,22,0
2016-07-31,21,0
2016-08-07,20,0
2016-08-14,18,0
2016-08-21,21,0
2016-08-28,24,<1
2016-09-04,24,<1
2016-09-11,23,0
2016-09-18,28,0
2016-09-25,30,0
2016-10-02,26,0
2016-10-09,30,<1
2016-10-16,32,<1
2016-10-23,33,<1
2016-10-30,33,0
2016-11-06,33,0
2016-11-13,37,<1
2016-11-20,37,0
2016-11-27,41,0
